CompACT,HStile,HSGPA,ActionDate,ApplDate,BDt,TotalSAT,Gender,Ethnicity,AcadPlan,zipdisk
0,0,0,346,346,4148,0,F,African American,DHROB-BBA,13.7111687
23,0,0,316,316,9898,0,M,African American,DCOMM-BA,13.01468087
0,58,3.68,450,333,9871,1590,M,African American,DMATH-BA,33.28225649
18,0,0,190,190,11157,0,F,Hispanic,DBUND,715.2478169
22,75,3.51,450,236,11116,1200,M,African American,DCSIT-BA,37.64995058
0,0,0,155,155,11246,1950,M,White,DMATH-BA,52.99342802
0,0,0,318,318,5656,0,F,African American,DGNBU-BBA,5.491657246
0,94,3.52,325,316,10450,1350,F,Hispanic,DCDFS-BS,10.95784155
18,38,2.519,450,303,10581,1500,M,African American,DLSCM-BS,345.5997835
26,0,0,122,122,11129,0,F,White,DBIOL-BS,52.0956071
9,70,3.38,450,95,10802,0,F,African American,DCDFS-BS,1512.115904
18,51,2.916,275,107,10964,1080,F,Hispanic,DHPMGT-BBA,5.009297949
17,0,0,366,150,10984,0,F,African American,DBIOL-BA,18.72099996
19,0,0,362,362,10733,0,F,Hispanic,DPSYC-BA,48.4975744
0,0,0,164,164,10493,1185,F,Asian,DCDFS-BS,37.64995058
0,0,3.69,124,124,11047,0,F,Hispanic,DCRJS-BS,35.38596594
18,89,3.49,122,122,10999,0,F,Hispanic,DINDE-BS,21.19063763
21,0,0,211,211,11060,1120,F,Hispanic,DCOMM-BA,24.76618552
19,0,0,113,113,10989,0,F,Hispanic,DCRJS-BS,732.5114525
0,0,3.22,275,155,11226,910,M,Hispanic,DFINA-BBA,23.57255943
21,90,3.51,396,134,10792,1130,M,Hispanic,DCRJS-BS,19.48887532
24,88,3.498,450,239,10981,1100,M,Hispanic,DUNDECIDED,12.75836634
16,0,0,136,136,10905,950,F,Hispanic,DPSYC-BA,0
0,79,3.8,151,151,10899,1410,F,White,DBIOL-BS,39.6837166
0,0,0,123,87,10922,1030,F,Hispanic,DPSYC-BA,33.28225649
0,0,0,225,225,10764,840,F,African American,DPSYC-BA,46.01228595
17,68,3.885,137,137,10294,1410,M,Hispanic,DCRJS-BS,33.55774104
19,88,2.54,396,106,11288,0,F,African American,DBIOL-BA,5.491657246
17,32,3.01,450,164,11240,960,M,African American,DACCT-BBA,8.948177454
19,0,0,239,239,10692,930,F,Hispanic,DBIOL-BS,9.55652232
21,98,3.613,341,341,10613,1080,F,Hispanic,DBIOL-BS,12.61565729
7,0,0,243,243,9938,0,F,Hispanic,DPBHLTH-BA,10.95784155
20,50,3.41,450,306,11273,0,F,African American,DGNBU-BBA,149.2056852
0,21,0,401,261,10625,860,F,Hispanic,DCDFS-BS,6.070851259
29,0,3.87,450,99,11695,1350,F,Asian,DCOMM-BA,40.84350933
0,0,0,184,184,11469,1260,F,African American,DBIOL-BS,52.49445209
0,14,1.907,414,242,10711,0,M,African American,DCOMM-BA,31.20421111
14,46,3.195,375,375,10706,940,F,Hispanic,DPSYC-BA,10.94098691
17,62,3.42,450,155,10981,960,F,Hispanic,DACCT-BBA,40.34923207
21,94,3.6,450,128,11133,1110,M,Hispanic,DMATH-BA,14.64597377
0,0,0,242,242,10646,1180,F,Asian,DBUND,45.43987291
20,66,3.58,450,113,11288,0,F,Hispanic,DCDFS-BS,10.95784155
0,0,3.07,450,207,10348,910,M,African American,DGNBU-BBA,11.11464643
21,0,0,135,135,11198,1080,F,White,DBIOL-BS,51.28986185
0,0,0,67,67,11234,1090,M,African American,DBUND,141.0173423
17,47,3.128,450,71,11140,910,F,African American,DHSML-BS,232.6380419
18,33,3.56,190,109,11098,1000,F,Hispanic,DPSYC-BA,9.96010621
28,96,3.93,450,99,11297,1200,F,Asian,DBIOL-BS,61.13255796
24,59,3.09,450,94,10996,1030,F,White,DBIOL-BS,194.8466073
16,0,0,107,107,10973,860,F,African American,DPBHLTH-BS,141.0173423
0,14,3.11,450,341,10814,1030,M,Hispanic,DUNDECIDED,10.94098691
14,0,0,115,115,11025,840,F,African American,DGNBU-BBA,31.71664784
0,0,0,74,74,11211,850,F,Hispanic,DINDE-BS,381.6093035
17,0,3.44,450,78,11074,1010,F,African American,DBIOL-BS,33.25824532
14,0,0,131,131,10983,0,F,African American,DCRJS-BS,263.8830775
15,0,0,155,155,10989,0,F,African American,DPBHLTH-BA,332.36811
19,0,0,185,185,10782,0,F,Asian,DUNDECIDED,38.65398239
17,34,3.19,275,82,11058,880,F,Hispanic,DGNBU-BBA,5.009297949
0,76,3.61,275,200,11142,1200,F,Hispanic,DGNBU-BBA,22.60129595
15,83,3.43,450,80,11304,980,F,Hispanic,DPSYC-BA,12.61565729
0,0,0,137,137,10922,960,M,Hispanic,DCRJS-BS,11.61455638
20,0,0,152,152,11379,960,F,Hispanic,DFINA-BBA,8.039662853
0,51,3.26,275,88,11058,880,F,Hispanic,DGNBU-BBA,9.55652232
14,75,3.499,295,171,11299,940,M,Hispanic,DCSIT-BA,16.0399783
0,0,0,93,93,11304,900,F,Hispanic,DPBHLTH-BA,10.94098691
15,56,3.333,358,122,10989,780,M,Hispanic,DBUND,16.0399783
19,0,0,79,79,11267,970,F,Hispanic,DCRJS-BS,12.61565729
0,0,0,290,290,11185,680,F,Hispanic,DCRJS-BS,5.009297949
0,54,3.571,275,82,11120,980,M,African American,DCOMM-BA,0
