CompACT,HStile,HSGPA,ActionDate,ApplDate,BDt,TotalSAT,Gender,Ethnicity,AcadPlan,Enroll18,zipdisk
5.533870999,-23.4640427,2.158711224,195.2719013,234.0828606,11142.36272,597.8671988,M,Hispanic,DDUALCRED,notEnroll,302.0521244
-1.649600039,24.56932193,3.278264153,474.0657168,272.2127331,10998.39027,755.1153353,F,African American,DPSYC-BA,notEnroll,292.3482331
2.961404455,8.46722358,4.951567423,503.2119281,138.0472118,10984.70362,974.3541476,M,Hispanic,DACCT-BBA,notEnroll,-36.03046765
-6.248374295,-3.230786034,-0.345114679,122.0352151,92.82064139,10892.95806,1222.029165,M,Hispanic,DCSIT-BA,notEnroll,214.580313
7.902108378,-10.5566477,-0.08055515,117.8792899,155.2782004,11263.06445,96.29666375,F,Hispanic,DGNBU-BBA,notEnroll,-15.62921139
17.90957587,29.47908264,-0.343290141,466.8389921,119.3807748,11174.76947,115.2294057,F,Hispanic,DPSYC-BA,notEnroll,-253.9745452
1.695322615,-10.9719917,0.33466088,225.74504,84.58303903,11157.28698,1091.115263,M,African American,DPBHLTH-BS,notEnroll,124.5016034
1.769002641,19.4501591,2.887935666,493.8352445,118.0848048,11042.4974,691.4185653,F,African American,DCRJS-BS,notEnroll,-30.81355962
-4.572060422,-6.241205453,0.559561257,41.66730552,143.5341482,11476.52288,282.7120818,F,Hispanic,DCRJS-BS,notEnroll,1057.725651
13.62007809,-0.510949362,0.34549015,351.3549644,251.5288719,10910.90121,-275.0350717,F,African American,DCRJS-BS,notEnroll,77.03289244
15.95582606,-40.26654662,-1.022769481,-57.03925634,76.84473409,10902.82209,-384.1024853,M,Hispanic,DACCT-BBA,notEnroll,105.8530575
-4.862650097,25.79304415,2.45053034,55.90047369,59.0274628,10792.79802,327.5423588,F,Hispanic,DCRJS-BS,notEnroll,-57.34884634
2.455377007,13.87915556,-0.557012895,305.7851423,177.2734775,11600.91303,101.2807893,F,Hispanic,DFINA-BBA,notEnroll,554.3417649
0.611492707,-13.24814708,-0.672136375,296.4685434,278.7753014,11031.65463,-36.36327435,F,Hispanic,DBIOL-BS,notEnroll,-54.38219099
1.444699702,-49.96335071,-0.083286587,-4.93415208,130.6316374,11297.07176,548.7267597,F,Hispanic,DCDFS-BS,notEnroll,153.2637504
2.017106743,-2.308928278,1.288633183,342.3452841,223.1767555,10953.61973,57.46450557,F,African American,DACCT-BBA,notEnroll,184.3350354
18.48020501,-5.591588364,-0.699799492,123.0391473,157.9638317,11224.9974,1125.624337,M,Hispanic,DBIOL-BA,notEnroll,102.8841727
2.603204477,2.166641447,-0.663762936,153.4159462,150.2487343,11562.76706,-148.4252621,F,Hispanic,DBIOL-BS,notEnroll,-60.22839547
1.990221779,4.877851443,1.18022493,52.21654552,86.80038321,10850.22909,71.41107143,M,Hispanic,DCSIT-BA,notEnroll,346.0400672
28.04220097,3.148832135,3.425998639,528.7782501,138.3954837,10829.68084,1276.407733,M,Hispanic,DMATH-BA,notEnroll,232.8600408
-11.3792394,-33.66022082,-0.505768792,421.3674513,198.5820523,11210.58695,1118.05736,F,Hispanic,DUNDECIDED,notEnroll,-22.49059897
20.18000094,60.72401568,2.332984995,537.043911,231.9575051,11732.37523,1238.129187,F,Hispanic,DBUND,notEnroll,-285.4924352
-9.794417896,-10.9204943,-0.329390442,109.2628032,191.5823251,10832.46847,-213.7946083,F,Hispanic,DPBHLTH-BA,notEnroll,-140.8659013
-5.281209766,26.96262424,-0.171527864,385.2808398,355.6234587,11138.49295,970.4533695,F,African American,DUNDECIDED,notEnroll,-1.795748238
-1.778618194,11.80269964,0.618909401,72.87082307,67.97602294,10619.13761,-38.26461954,M,Not Available,DBUND,notEnroll,68.02638247
25.17980451,-0.109162512,0.092328313,132.3739401,121.2662569,12085.07797,351.1241947,F,African American,DPBHLTH-BA,notEnroll,453.3215722
-1.920290201,55.45068543,1.960322274,189.6774714,122.8715192,10604.0389,-323.7900478,M,Hispanic,DGNBU-BBA,notEnroll,-3.635929772
-4.694320081,4.171065997,1.153794459,225.5249247,257.6289197,11395.2713,1046.766401,M,Hispanic,DUNDECIDED,notEnroll,299.1464648
11.51242833,106.4039991,2.656054653,398.3008802,97.31062931,10863.95147,1169.461424,M,African American,DBUND,notEnroll,-240.877175
0.618506589,-2.785241871,1.334112756,37.29912693,66.36769508,10978.64989,1215.612618,F,Hispanic,DBUND,notEnroll,212.4720893
23.34032107,99.99126884,2.617931357,413.9901229,149.608649,11173.23223,1792.248529,M,Hispanic,DCOMM-BA,notEnroll,390.3328836
1.803044843,67.6752609,4.399594465,148.0384929,158.4569934,10942.04103,1063.664077,F,Hispanic,DUNDECIDED,notEnroll,232.9192058
-0.954399348,14.99542339,0.151507257,115.3862035,150.6844829,11078.27017,-64.39613673,F,Hispanic,DBIOL-BS,notEnroll,-186.8691152
23.27987093,75.50988989,4.304819733,443.7943623,121.0334093,11116.48802,635.2317861,M,White,DUNDECIDED,notEnroll,44.21032243
0.028107368,67.97423985,3.260176507,474.5391961,143.1891137,11026.31789,1401.814672,M,African American,DUNDECIDED,notEnroll,214.8425116
-7.269641283,-2.676050372,0.470986181,36.55310276,89.08178401,10922.97372,-41.89543118,M,White,DCSIT-BA,notEnroll,782.7635638
-1.849748679,82.72853375,3.121853095,281.7908397,227.8933541,11368.91518,1243.047649,F,Hispanic,DBIOL-BS,notEnroll,45.15875702
2.164877996,10.8836946,3.769046621,346.0283921,139.1008977,10995.31627,-69.27436623,F,Hispanic,DBIOL-BA,notEnroll,76.24513948
22.72595972,-15.88699441,3.344263514,402.0626047,158.0309193,11020.75083,-8.810464305,M,Asian,DBUND,notEnroll,1241.11445
4.18577169,31.82033014,3.733212899,506.1408619,132.1466886,10912.03488,1040.030944,F,Hispanic,DCRJS-BS,notEnroll,39.20653625
2.867801488,-23.69015562,0.193198099,119.5989082,133.4195502,10838.02238,-181.367776,F,Hispanic,DPSYC-BA,notEnroll,253.8210766
12.06262001,80.63409113,3.384886529,383.9390639,139.1213621,11054.25179,1178.432635,F,Hispanic,DCSIT-BA,notEnroll,-390.806659
-1.930963038,23.74967385,-0.231860306,149.0518656,180.5084671,10931.73425,994.7509954,F,Hispanic,DPBHLTH-BA,notEnroll,121.7029364
5.210188903,-15.56217873,-1.808888218,140.1665681,128.1490038,10913.23854,-103.0763436,F,Hispanic,DPSYC-BA,notEnroll,1041.276619
1.385767761,10.99681139,0.039849072,240.1284551,116.6417128,10848.23823,-163.6059132,F,African American,DBIOL-BS,notEnroll,213.8252143
22.84156365,10.63825434,-1.979042789,76.51370961,168.783037,11295.25981,814.4543267,M,Hispanic,DBIOL-BS,notEnroll,-94.11220943
23.89686372,-5.501641653,-1.466889597,299.7829699,288.5054655,11519.43379,-7.537582653,M,Asian,DCSIT-BA,notEnroll,-373.9352584
2.032595599,89.11609817,4.346688767,476.3276773,82.04559147,11360.1142,798.8733498,F,Hispanic,DCOMM-BA,notEnroll,-513.2098718
-2.638818622,13.34752405,0.018243996,282.9378311,187.5381199,10667.02928,115.1574582,F,Hispanic,DCRJS-BS,notEnroll,-52.31669024
6.224152596,14.62670922,1.510160996,197.3692849,284.1222679,11145.77895,137.278531,F,African American,DCDFS-BS,notEnroll,688.8574037
9.901135977,8.884392144,-0.126166302,251.9825765,123.6837296,11140.032,284.9040837,F,African American,DBIOL-BS,notEnroll,805.9335969
0.06177961,14.38094733,0.246574555,185.8510723,205.8608505,11244.64095,176.8424286,M,Hispanic,DPSYC-BA,notEnroll,816.1009705
4.776860502,0.476003011,-0.51567235,179.3249167,172.6628508,11246.53961,1143.706257,F,Hispanic,DBIOL-BS,notEnroll,835.3006525
-3.651816237,-5.909047511,0.589770255,198.6947064,178.7097583,11057.94744,-115.8183834,M,Hispanic,DBUND,notEnroll,362.4503923
-6.12253709,64.65618188,4.332956815,501.2614537,392.8046216,9833.6681,1202.009108,M,African American,DMATH-BA,notEnroll,115.2708587
-0.834136449,11.85936363,1.00039548,217.9099248,146.9804243,10674.53178,1042.041388,M,African American,DPSYC-BA,notEnroll,583.5810386
-6.23101169,1.542014698,-1.29871825,16.65489077,65.02833038,11097.6579,175.4283265,F,Hispanic,DHPMGT-BBA,notEnroll,-51.21928218
8.19329484,63.76140916,2.94757778,270.9824498,152.6973728,11149.46717,873.4017323,F,African American,DCRJS-BS,notEnroll,200.1579814
16.4614318,9.217236473,2.170609631,480.657975,111.3563622,11877.20356,866.5813357,F,Hispanic,DCRJS-BS,notEnroll,-210.5950375
-3.727664927,13.28910753,-0.750295052,20.85776549,161.6659553,11294.98481,-383.0608556,F,Hispanic,DCRJS-BS,notEnroll,310.4399342
8.586730977,16.54789818,0.281479253,181.1791431,208.956541,11438.57316,118.7402001,F,African American,DGNBU-BBA,notEnroll,267.3718906
16.29143713,-23.76411493,-0.384481471,-9.437309533,142.3744079,11323.51138,174.0051319,M,Hispanic,DFINA-BBA,notEnroll,-82.04861315
0.207987799,82.70641747,3.530114405,362.5087733,109.5664106,10968.57555,907.2462195,F,Hispanic,DPSYC-BA,notEnroll,541.1097323
13.38053167,53.33919546,2.784077454,468.4989214,179.7905889,10734.40487,1382.629331,F,Hispanic,DPBHLTH-BA,notEnroll,94.90556577
0.137494245,88.34618964,4.46083779,502.7121264,184.4813552,11029.54585,1159.141337,M,Hispanic,DCRJS-BS,notEnroll,-80.30320616
17.99494665,-17.97674373,-0.262820128,417.4104945,76.86052895,11120.19381,1192.029844,F,Hispanic,DCSIT-BA,notEnroll,-96.28471404
-4.561700599,94.17522099,2.771945812,551.556139,157.4439326,10868.35176,972.2805985,F,Hispanic,DBIOL-BS,notEnroll,-180.6888813
26.38322895,106.3893552,3.059760573,465.2514304,156.4410556,10800.50208,1025.320163,M,Hispanic,DBIOL-BA,notEnroll,-35.58487779
-5.285655287,19.01976429,0.520492559,96.28386056,142.6452007,11033.71087,367.8752505,F,Hispanic,DPBHLTH-BA,notEnroll,-39.95157131
-2.083835652,-5.398435681,0.415106062,200.2706444,290.9963737,11660.12866,1217.828179,M,African American,DUNDECIDED,notEnroll,309.5687467
18.72755993,-4.99529999,1.541679326,-125.5585717,12.18674661,11212.20701,307.7962911,F,African American,DPSYC-BA,notEnroll,-30.59464619
-6.87928685,8.68419197,-0.594150047,167.2355796,203.7220244,11289.11008,1146.01667,M,African American,DPBHLTH-BS,notEnroll,6.838071419
-0.03381338,21.19003913,-0.298141925,269.2292058,235.5940298,11229.45987,-208.5097294,F,Hispanic,DBIOL-BA,notEnroll,178.1541041
3.82231869,12.20859534,0.808413799,-13.74445862,86.69018828,11094.43041,1322.301113,F,Hispanic,DGNBU-BBA,notEnroll,84.54737784
1.591162699,80.5640502,3.315268111,201.9806944,119.8036379,11184.71801,1015.312894,F,African American,DCRJS-BS,notEnroll,104.6112355
20.96658278,94.72868556,3.353073045,468.1526052,165.1413202,10876.83869,1413.845761,M,Hispanic,DACCT-BBA,notEnroll,257.8246575
2.920244274,8.11858853,-0.591303581,22.35239713,146.4521537,10718.17898,609.9493975,F,Hispanic,DUNDECIDED,notEnroll,168.2569133
-1.738127775,-1.731597165,0.404361702,248.4768335,281.122982,10772.43589,93.38403629,F,Hispanic,DACCT-BBA,notEnroll,50.29340529
20.09279425,55.54559168,2.863516656,554.1625049,195.1458264,11224.81707,947.5049848,M,Hispanic,DGNBU-BBA,notEnroll,89.23615071
0.333889812,22.05979392,-0.294869134,263.2416474,208.6824692,10921.96362,204.5589287,M,African American,DMATH-BA,notEnroll,676.2889823
-0.630381872,-3.310383569,-0.558588997,91.21571179,92.84351677,10924.91914,-159.7211613,M,Hispanic,DBUND,notEnroll,-200.7992656
4.216044681,21.0120545,2.875409256,125.6793705,167.7489188,11215.57233,877.9045551,M,Hispanic,DBIOL-BA,notEnroll,-192.0723837
24.36202689,-14.71894607,-0.835293484,151.6991787,70.44151845,10647.73125,1236.414539,F,Hispanic,DBUND,notEnroll,-49.91488073
-2.395603038,46.21154045,4.193363245,342.6148972,351.5096882,11848.90564,106.4384448,F,African American,DBIOL-BA,notEnroll,245.8925492
5.436278355,26.18262349,1.17151672,141.2391975,148.9219514,11435.36579,935.1794345,F,Hispanic,DBIOL-BS,notEnroll,876.6777264
-4.719968834,-7.099893604,-0.29285871,204.1720636,161.1970628,11250.73238,-118.5458676,F,Hispanic,DCOMM-BA,notEnroll,672.694149
